TR EN ES Dreaming Complete (testing github)

soñando - rüya görmek - dreaming, no hint
lúcido - anlaşılır - lucid, no hint
sueño - rüya - dream, no hint
cuerpo - vücut - body, no hint
May - Mayıs - may, no hint
Sueños - rüyalar - dreams, no hint
físico - fiziksel - physical, no hint
alguna - hiç - any, no hint
experiencia - deneyim - experience, no hint
muy - çok - very, no hint
camino - yol - way, no hint
siendo - olmak - being, no hint
mediante - vasıtasıyla - through, no hint
astral - astral - astral, no hint
mente - zihin - mind, no hint
dormir - uyku - sleep, no hint
vida - hayat - life, no hint
muchos - birçok - many, no hint
mundo - dünya - world, no hint
dijo - dedim - said, no hint
espalda - geri - back, no hint
persona - kişi - person, no hint
más - çoğu - most, no hint
estado - durum - state, no hint
porque - Çünkü - because, no hint
tal - böyle - such, no hint
incluso - hatta - even, no hint
debería - meli - should, no hint
mucho - çok - much, no hint
conciencia - bilinç - consciousness, no hint
abajo - aşağı - down, no hint
trabajo - iş - work, no hint
Aquí - İşte - here, no hint
dónde - nerede - where, no hint
energía - enerji - energy, no hint
mientras - süre - while, no hint
sin - olmadan - without, no hint
de nuevo - tekrar - again, no hint
durante - sırasında - during, no hint
bien - iyi - well, no hint
antes de - önce - before, no hint
pensamiento - düşünce - thought, no hint
día - gün - day, no hint
derecho - sağ - right, no hint
aquellos - şunlar - those, no hint
proyección - projeksiyon - projection, no hint
hombre - adam - man, no hint
hecho - yapılmış - made, no hint
libro - kitap - book, no hint
hace - yapar - does, no hint
sensación - hissetmek - feel, no hint
parte - Bölüm - part, no hint
encontrar - bulmak - find, no hint
otro - bir diğeri - another, no hint
cosas - bir şeyler - things, no hint
mismo - aynı - same, no hint
hizo - yaptı - did, no hint
propio - kendi - own, no hint
alguna cosa - bir şey - something, no hint
tú mismo - kendin - yourself, no hint
ligero - ışık - light, no hint
sobre - üzerine - upon, no hint
tomar - almak - take, no hint
debe - zorunlu - must, no hint
cada - her - every, no hint
conciencia - farkındalık - awareness, no hint
también - çok - too, no hint
hacer - Yapmak - make, no hint
don - don - don, no hint
formar - form - form, no hint
utilizar - kullanım - use, no hint
real - gerçek - real, no hint
cada - her biri - each, no hint
pequeño - küçük - little, no hint
todavía - hala - still, no hint
estupendo - harika - great, no hint
tierra - Dünya - earth, no hint
alrededor - etrafında - around, no hint
yendo - gidiyor - going, no hint
lugar - yer - place, no hint
largo - uzun - long, no hint
decir - söyle - say, no hint
consciente - bilinçli - conscious, no hint
viejo - eski - old, no hint
venir - gel - come, no hint
despertando - uyanma - waking, no hint
a menudo - sıklıkla - often, no hint
volverse - olmak - become, no hint
diferente - farklı - different, no hint
apagado - kapalı - off, no hint
práctica - uygulama - practice, no hint
querer - istemek - want, no hint
cosa - şey - thing, no hint
punto - nokta - point, no hint
noche - gece - night, no hint
lejos - uzakta - away, no hint
vino - geldi - came, no hint
experiencias - deneyimler - experiences, no hint
poder - yapabilmek - able, no hint
Mira - bak - look, no hint
habitación - oda - room, no hint
dejar - İzin Vermek - let, no hint
bastante - epeyce - quite, no hint
una vez - bir Zamanlar - once, no hint
pocos - az - few, no hint
fase - evre - phase, no hint
realidad - gerçeklik - reality, no hint
tecnicas - teknikler - techniques, no hint
técnica - teknik - technique, no hint
Entre - arasında - between, no hint
ojos - gözler - eyes, no hint
hasta - a kadar - until, no hint
humano - insan - human, no hint
años - yıl - years, no hint
siempre - her zaman - always, no hint
sin embargo - ancak - however, no hint
tratar - Deneyin - try, no hint
sintió - keçe - felt, no hint
nunca - asla - never, no hint
yo - kendini - self, no hint
miró - baktı - looked, no hint
Tres - üç - three, no hint
cama - yatak - bed, no hint
dentro - içinde - within, no hint
lejos - Irak - far, no hint
izquierda - ayrıldı - left, no hint
ambos - her ikisi de - both, no hint
recuerda - hatırlamak - remember, no hint
De Verdad - Gerçekten mi - really, no hint
por qué - neden - why, no hint
importar - Önemli olmak - matter, no hint
yo mismo - kendim - myself, no hint
Ayuda - Yardım - help, no hint
usado - Kullanılmış - used, no hint
encontró - bulundu - found, no hint
pareció - görünüyordu - seemed, no hint
se fue - gitti - went, no hint
podría - belki - might, no hint
medio - anlamına geliyor - means, no hint
cerebro - beyin - brain, no hint
todavía - hala - yet, no hint
posible - mümkün - possible, no hint
necesitar - ihtiyaç - need, no hint
Siguiente - Sonraki - next, no hint
presente - mevcut - present, no hint
llamado - aranan - called, no hint
mental - zihinsel - mental, no hint
cierto - belirli - certain, no hint
ejemplo - misal - example, no hint
mano - el - hand, no hint
creer - inanmak - believe, no hint
todo - bütün - whole, no hint
teniendo - sahip olmak - having, no hint
otros - diğerleri - others, no hint
veces - zamanlar - times, no hint
sentido - duyu - sense, no hint
no puedo - olumsuz - cannot, no hint
nada - hiçbir şey değil - nothing, no hint
moverse - hareket - move, no hint
con - ile - com, no hint
cabeza - baş - head, no hint
muerte - ölüm - death, no hint
Sierra - testere - saw, no hint
espiritual - manevi - spiritual, no hint
avión - uçak - plane, no hint
sistema - sistemi - system, no hint
tema - konu - subject, no hint
dado - verilen - given, no hint
lucidez - netlik - lucidity, no hint
más allá - ötesinde - beyond, no hint
hecho - gerçek - fact, no hint
consciente - farkında - aware, no hint
curso - kurs - course, no hint
más tarde - sonra - later, no hint
importante - önemli - important, no hint
quizás - belki - perhaps, no hint
momento - an - moment, no hint
